,TimeStamp,hndl_usr,sys_calls,soft_comp,idle_res
0,2015-02-23 15:04:56,0.21,0.21,0.0,99.58
1,2015-02-23 15:04:57,0.13,0.13,0.0,99.75
2,2015-02-23 15:04:58,0.17,0.46,0.0,99.37
3,2015-02-23 15:04:59,0.46,0.63,0.0,98.91
4,2015-02-23 15:05:00,0.46,0.5,0.0,99.04
5,2015-02-23 15:05:01,0.46,0.67,0.0,98.87
6,2015-02-23 15:05:02,0.46,0.67,0.0,98.87
7,2015-02-23 15:05:03,0.42,0.5,0.0,99.08
8,2015-02-23 15:05:04,0.59,0.5,0.0,98.91
9,2015-02-23 15:05:05,0.42,0.55,0.04,98.99
10,2015-02-23 15:05:06,0.76,0.55,0.0,98.7
11,2015-02-23 15:05:07,0.42,0.46,0.0,99.12
12,2015-02-23 15:05:08,0.5,0.5,0.04,98.95
13,2015-02-23 15:05:09,0.13,0.25,0.04,99.58
14,2015-02-23 15:05:10,0.17,0.29,0.0,99.54
15,2015-02-23 15:05:11,0.13,0.17,0.0,99.71
16,2015-02-23 15:05:12,1.84,0.25,0.0,97.91
17,2015-02-23 15:05:13,4.25,0.17,0.04,95.54
18,2015-02-23 15:05:14,4.21,0.21,0.0,95.58
19,2015-02-23 15:05:15,4.34,0.29,0.0,95.37
20,2015-02-23 15:05:16,4.29,0.17,0.04,95.5
21,2015-02-23 15:05:17,4.26,0.17,0.0,95.58
22,2015-02-23 15:05:18,4.26,0.21,0.0,95.53
23,2015-02-23 15:05:19,4.3,0.38,0.04,95.29
24,2015-02-23 15:05:20,4.25,0.33,0.0,95.42
25,2015-02-23 15:05:21,3.55,0.25,0.0,96.2
26,2015-02-23 15:05:22,0.08,0.17,0.0,99.75
27,2015-02-23 15:05:23,0.08,0.21,0.0,99.71
28,2015-02-23 15:05:24,0.08,0.29,0.0,99.62
29,2015-02-23 15:05:25,0.12,0.29,0.04,99.54
30,2015-02-23 15:05:26,0.04,0.21,0.0,99.75
31,2015-02-23 15:05:27,0.08,0.25,0.0,99.67
32,2015-02-23 15:05:28,0.08,0.29,0.0,99.62
33,2015-02-23 15:05:29,0.13,0.21,0.0,99.67
34,2015-02-23 15:05:30,0.04,0.46,0.0,99.5
35,2015-02-23 15:05:31,0.21,0.17,0.0,99.62
36,2015-02-23 15:05:32,0.12,0.25,0.0,99.58
37,2015-02-23 15:05:33,0.08,0.21,0.0,99.71
38,2015-02-23 15:05:34,0.21,0.46,0.04,99.29
39,2015-02-23 15:05:35,0.08,0.21,0.0,99.71
40,2015-02-23 15:05:36,0.21,0.46,0.0,99.33
41,2015-02-23 15:05:37,0.46,0.5,0.04,98.99
42,2015-02-23 15:05:38,0.38,0.46,0.0,99.16
43,2015-02-23 15:05:39,0.38,0.76,0.0,98.87
44,2015-02-23 15:05:40,0.38,0.55,0.0,99.08
45,2015-02-23 15:05:41,0.5,0.46,0.0,99.04
46,2015-02-23 15:05:42,0.42,0.67,0.04,98.87
47,2015-02-23 15:05:43,0.55,0.63,0.0,98.83
48,2015-02-23 15:05:44,0.34,0.55,0.04,99.08
49,2015-02-23 15:05:45,0.67,0.75,0.04,98.53
50,2015-02-23 15:05:46,0.29,0.17,0.0,99.54
51,2015-02-23 15:05:47,0.17,0.25,0.0,99.58
52,2015-02-23 15:05:48,0.0,0.25,0.0,99.75
53,2015-02-23 15:05:49,0.21,0.46,0.0,99.33
54,2015-02-23 15:05:50,0.08,0.21,0.0,99.71
55,2015-02-23 15:05:51,0.29,0.25,0.0,99.46
56,2015-02-23 15:05:52,0.08,0.21,0.0,99.71
57,2015-02-23 15:05:53,0.08,0.21,0.0,99.71
58,2015-02-23 15:05:54,0.08,0.29,0.0,99.62
59,2015-02-23 15:05:55,0.17,0.17,0.0,99.67
60,2015-02-23 15:05:56,0.08,0.25,0.0,99.67
61,2015-02-23 15:05:57,0.04,0.29,0.0,99.67
62,2015-02-23 15:05:58,0.13,0.17,0.0,99.71
63,2015-02-23 15:05:59,0.17,0.25,0.0,99.58
64,2015-02-23 15:06:00,0.08,0.33,0.0,99.58
65,2015-02-23 15:06:01,0.25,0.59,0.0,99.16
66,2015-02-23 15:06:02,0.67,0.76,0.0,98.57
67,2015-02-23 15:06:03,0.46,0.79,0.0,98.74
68,2015-02-23 15:06:04,0.55,0.76,0.08,98.62
69,2015-02-23 15:06:05,0.5,0.8,0.0,98.7
70,2015-02-23 15:06:06,0.42,0.59,0.04,98.95
71,2015-02-23 15:06:07,0.5,0.67,0.0,98.82
